id,translations,created_at,language_code
14457ea6-106e-4181-8003-fda8fc8161e7,"{""upload_qr"": ""QR-Code hochladen"", ""enter_code"": ""Empfehlungscode eingeben"", ""state_label"": ""Bundesland auswählen"", ""accept_terms"": ""Ich akzeptiere die Allgemeinen Geschäftsbedingungen"", ""country_label"": ""Land auswählen"", ""language_label"": ""Sprache auswählen"", ""continue_button"": ""Weiter"", ""welcome_heading"": ""Willkommen bei CONNECTA"", ""welcome_subtitle"": ""Bitte laden Sie Ihren QR-Code hoch oder geben Sie den Empfehlungscode ein"", ""terms_and_conditions"": ""Allgemeine Geschäftsbedingungen""}",,de
e6b44b72-cd62-460c-8aae-28bcc75c4b0f,"{""upload_qr"": ""Ngarko Kodin QR"", ""enter_code"": ""Shkruani Kodin e Referimit"", ""state_label"": ""Zgjidh Shtetin"", ""accept_terms"": ""Unë pranoj termat dhe kushtet"", ""country_label"": ""Zgjidh Vendin"", ""language_label"": ""Zgjidh Gjuhën"", ""continue_button"": ""Vazhdo"", ""welcome_heading"": ""Mirësevini në CONNECTA"", ""welcome_subtitle"": ""Ju lutemi ngarkoni kodin tuaj QR ose shkruani kodin e referimit"", ""terms_and_conditions"": ""Termat dhe Kushtet""}",,albanian
99cff182-dd8a-41a0-8a22-108d7643f98d,"{""upload_qr"": ""QR ኮድ አስገባ"", ""enter_code"": ""የአመልካች ኮድ አስገባ"", ""state_label"": ""ግዛት ይምረጡ"", ""accept_terms"": ""እኔ ውሎችን እና አተገዳዮችን እቀበላለሁ"", ""country_label"": ""ሀገር ይምረጡ"", ""language_label"": ""ቋንቋ ይምረጡ"", ""continue_button"": ""ቀጥል"", ""welcome_heading"": ""እንኳን ወደ CONNECTA በደህና መጡ"", ""welcome_subtitle"": ""እባክዎ የእርስዎን QR ኮድ ያስገቡ ወይም የአመልካች ኮድ ያስገቡ"", ""terms_and_conditions"": ""ውሎችና አተገዳዮች""}",,amharic
ec6a0034-4c35-47aa-80fc-ff206ac1cf7e,"{""upload_qr"": ""Վերբեռնել QR կոդը"", ""enter_code"": ""Մուտքագրել ուղղորդման կոդը"", ""state_label"": ""Ընտրել նահանգը"", ""accept_terms"": ""Ես ընդունում եմ պայմաններն ու դրույթները"", ""country_label"": ""Ընտրել երկիրը"", ""language_label"": ""Ընտրել լեզուն"", ""continue_button"": ""Շարունակել"", ""welcome_heading"": ""Բարի գալուստ CONNECTA"", ""welcome_subtitle"": ""Խնդրում ենք վերբեռնել ձեր QR կոդը կամ մուտքագրել ուղղորդման կոդը"", ""terms_and_conditions"": ""Պայմաններ և դրույթներ""}",,armenian
5c444a05-c3f2-4935-b966-dcd66913ac47,"{""upload_qr"": ""QR Kodunu Yüklə"", ""enter_code"": ""İstinad Kodunu Daxil Et"", ""state_label"": ""Dövləti Seçin"", ""accept_terms"": ""Mən şərtləri və qaydaları qəbul edirəm"", ""country_label"": ""Ölkəni Seçin"", ""language_label"": ""Dili Seçin"", ""continue_button"": ""Davam et"", ""welcome_heading"": ""CONNECTA-ya xoş gəlmisiniz"", ""welcome_subtitle"": ""Zəhmət olmasa QR kodunuzu yükləyin və ya istinad kodunu daxil edin"", ""terms_and_conditions"": ""Şərtlər və Qaydalar""}",,azerbaijani
9f3839c1-224f-4a11-a4c5-85e81e3b999c,"{""upload_qr"": ""Igo QR kodea"", ""enter_code"": ""Sartu Erreferentzia Kodea"", ""state_label"": ""Hautatu Estatua"", ""accept_terms"": ""Baldintzak onartzen ditut"", ""country_label"": ""Hautatu Herrialdea"", ""language_label"": ""Hautatu Hizkuntza"", ""continue_button"": ""Jarraitu"", ""welcome_heading"": ""Ongi etorri CONNECTA-ra"", ""welcome_subtitle"": ""Mesedez, igo zure QR kodea edo sartu erreferentzia kodea"", ""terms_and_conditions"": ""Baldintzak eta xedapenak""}",,basque
5e3d38d5-b31c-4816-b763-0f8d32a91b07,"{""upload_qr"": ""কিউআর কোড আপলোড করুন"", ""enter_code"": ""রেফারেল কোড দিন"", ""state_label"": ""রাজ্য নির্বাচন করুন"", ""accept_terms"": ""আমি শর্তাবলীতে সম্মতি দিচ্ছি"", ""country_label"": ""দেশ নির্বাচন করুন"", ""language_label"": ""ভাষা নির্বাচন করুন"", ""continue_button"": ""চালিয়ে যান"", ""welcome_heading"": ""কনেক্টাতে স্বাগতম"", ""welcome_subtitle"": ""অনুগ্রহ করে আপনার কিউআর কোড আপলোড করুন অথবা রেফারেল কোড দিন"", ""terms_and_conditions"": ""শর্তাবলী""}",,bengali
d83ac501-e189-4d91-986e-c9d137d7a80a,"{""upload_qr"": ""Качи QR код"", ""enter_code"": ""Въведете реферален код"", ""state_label"": ""Изберете щат"", ""accept_terms"": ""Съгласявам се с общите условия"", ""country_label"": ""Изберете държава"", ""language_label"": ""Изберете език"", ""continue_button"": ""Продължи"", ""welcome_heading"": ""Добре дошли в CONNECTA"", ""welcome_subtitle"": ""Моля, качете своя QR код или въведете реферален код"", ""terms_and_conditions"": ""Общи условия""}",,bulgarian
7578e633-3796-4baf-af3b-054e18a87549,"{""upload_qr"": ""Puja el codi QR"", ""enter_code"": ""Introdueix el codi de referència"", ""state_label"": ""Selecciona l'estat"", ""accept_terms"": ""Accepto els termes i condicions"", ""country_label"": ""Selecciona el país"", ""language_label"": ""Selecciona l'idioma"", ""continue_button"": ""Continuar"", ""welcome_heading"": ""Benvingut a CONNECTA"", ""welcome_subtitle"": ""Si us plau, puja el teu codi QR o introdueix el codi de referència"", ""terms_and_conditions"": ""Termes i Condicions""}",,catalan
ded588eb-bd3f-46b0-8c1f-f2da370d3398,{},,chinese_hk
ae65ac95-1984-4cdb-bd8a-e463f33811de,"{""upload_qr"": ""Prenesi QR kod"", ""enter_code"": ""Unesite referalni kod"", ""state_label"": ""Odaberite državu"", ""accept_terms"": ""Prihvaćam uvjete i odredbe"", ""country_label"": ""Odaberite zemlju"", ""language_label"": ""Odaberite jezik"", ""continue_button"": ""Nastavi"", ""welcome_heading"": ""Dobrodošli u CONNECTA"", ""welcome_subtitle"": ""Molimo prenesite svoj QR kod ili unesite referalni kod"", ""terms_and_conditions"": ""Uvjeti i odredbe""}",,croatian
551d885c-653a-40ef-9f2d-b756b3d85331,{},,swahili (1)
1dddb0d5-1dd5-4e1d-9377-a90f29545642,"{""upload_qr"": ""Upload QR-kode"", ""enter_code"": ""Indtast henvisningskode"", ""state_label"": ""Vælg Stat"", ""accept_terms"": ""Jeg accepterer vilkår og betingelser"", ""country_label"": ""Vælg Land"", ""language_label"": ""Vælg Sprog"", ""continue_button"": ""Fortsæt"", ""welcome_heading"": ""Velkommen til CONNECTA"", ""welcome_subtitle"": ""Upload venligst din QR-kode eller indtast henvisningskoden"", ""terms_and_conditions"": ""Vilkår og Betingelser""}",,danish
274a9fe2-2834-4870-a771-3791c84a3379,"{""upload_qr"": ""Upload QR-code"", ""enter_code"": ""Voer verwijzingscode in"", ""state_label"": ""Selecteer Staat"", ""accept_terms"": ""Ik ga akkoord met de algemene voorwaarden"", ""country_label"": ""Selecteer Land"", ""language_label"": ""Selecteer Taal"", ""continue_button"": ""Doorgaan"", ""welcome_heading"": ""Welkom bij CONNECTA"", ""welcome_subtitle"": ""Upload alstublieft uw QR-code of voer de verwijzingscode in"", ""terms_and_conditions"": ""Algemene Voorwaarden""}",,dutch
3390db72-da74-4d8c-9cf8-74d035293681,"{""upload_qr"": ""Laadi üles QR-kood"", ""enter_code"": ""Sisestage soovituskood"", ""state_label"": ""Vali osariik"", ""accept_terms"": ""Ma nõustun tingimustega"", ""country_label"": ""Vali riik"", ""language_label"": ""Vali keel"", ""continue_button"": ""Jätka"", ""welcome_heading"": ""Tere tulemast CONNECTA-sse"", ""welcome_subtitle"": ""Palun laadige üles oma QR-kood või sisestage soovituskood"", ""terms_and_conditions"": ""Tingimused ja sätted""}",,estonian
39cd4881-6408-4301-af73-f75c013120ed,"{""upload_qr"": ""Lataa QR-koodi"", ""enter_code"": ""Syötä suosittelukoodi"", ""state_label"": ""Valitse osavaltio"", ""accept_terms"": ""Hyväksyn ehdot ja säännöt"", ""country_label"": ""Valitse maa"", ""language_label"": ""Valitse kieli"", ""continue_button"": ""Jatka"", ""welcome_heading"": ""Tervetuloa CONNECTAan"", ""welcome_subtitle"": ""Lataa QR-koodisi tai syötä suosittelukoodi"", ""terms_and_conditions"": ""Ehdot ja säännöt""}",,finnish
